strategy,start,end,start_equity,end_equity,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,hit_ratio,avg_daily_ret,std_daily_ret
No Hedge,2021-01-11,2026-01-07,100000.0,91750.22140772686,-0.08249778592273138,-0.017167193863909413,0.048830797117664436,-0.3302388525314892,-0.49413712187485553,-0.1257256539038113,-0.1365448763308361,0.39824421388667197,-6.39913746362518e-05,0.003076051083199755
Delta-Hedged,2021-01-11,2026-01-07,100000.0,84359.12506308584,-0.15640874936914162,-0.0336290206957407,0.033122568011088066,-1.0162264136397186,-1.9582800315667799,-0.17271488138452618,-0.19470829859107658,0.3487629688747007,-0.00013357154166843526,0.002086525660503865
