datetime,S,K,sigma,T_years,combo_exec,legs_exec_mean,legging_extra_mean,legging_extra_p50,legging_extra_p90,legging_extra_p99,total_cost_legs_mean,total_extra_mean,total_extra_p90,total_extra_p99
2021-01-11,378.69,379.0,,0.0821917808219178,,,,,,,,,,
2021-02-01,376.23,376.0,,0.0821917808219178,,,,,,,,,,
2021-03-01,389.58,390.0,0.2045820936395739,0.0821917808219178,18.243451551774715,18.24553323822875,0.002081686454033966,0.001826544276211095,0.015075120292149432,0.025498321879053654,1824.553323822875,0.20816864540339663,1.5075120292149433,2.5498321879053654
2021-03-31,396.33,396.0,0.1734512443752725,0.0821917808219178,15.720537020155609,15.722325630491833,0.0017886103362224255,0.0015738999664272058,0.01271931378577431,0.0214880510159825,1572.232563049183,0.17886103362224254,1.2719313785774309,2.14880510159825
2021-04-01,400.61,401.0,0.1580617005631841,0.07945205479452055,14.251594609315237,14.25322598108373,0.0016313717684937246,0.0014269250667684474,0.01204183753950314,0.020393087497669892,1425.3225981083729,0.16313717684937246,1.204183753950314,2.039308749766989
2021-04-30,417.3,417.0,0.1528113339723678,0.07671232876712329,14.089453654446132,14.09106415296279,0.001610498516658895,0.0014106682305152773,0.011779030667292998,0.019936643275740178,1409.1064152962788,0.1610498516658895,1.1779030667292998,1.9936643275740178
2021-05-03,418.2,418.0,0.1467591760347633,0.0821917808219178,14.037156633082793,14.038755140206575,0.001598507123782293,0.0014053775761189158,0.011431551402699467,0.019319669320445466,1403.8755140206574,0.15985071237822931,1.1431551402699467,1.9319669320445467
2021-06-01,419.67,420.0,0.1636007050777343,0.0821917808219178,15.713851983853361,15.71564580564432,0.001793821790958861,0.0015732866825084457,0.013025371439032438,0.022035173515971822,1571.564580564432,0.1793821790958861,1.3025371439032438,2.203517351597182
2021-07-01,430.43,430.0,0.1317280578561926,0.07945205479452055,12.750647407477521,12.75210057024659,0.0014531627690689427,0.0012765844161251039,0.010440038693011288,0.01764957947685063,1275.2100570246591,0.14531627690689428,1.0440038693011287,1.764957947685063
2021-07-30,438.51,439.0,0.1555609677806208,0.07671232876712329,15.08867256808683,15.090404485229199,0.0017319171423687064,0.0015107798644864445,0.012990109229316357,0.022021541900397398,1509.0404485229199,0.17319171423687063,1.2990109229316358,2.2021541900397397
2021-08-02,437.59,438.0,0.1619461873334836,0.0821917808219178,16.221407202725853,16.22325959589653,0.0018523931706763363,0.0016241095449842646,0.013479028032049454,0.022805732470217662,1622.325959589653,0.1852393170676336,1.3479028032049454,2.280573247021766
