datetime,close,hv,vix,sigma_proxy
2021-01-07,379.1,,22.37,
2021-01-08,381.26,,21.56,
2021-01-11,378.69,,24.08,
2021-01-12,378.77,,23.33,
2021-01-13,379.79,,22.21,
2021-01-14,378.46,,23.25,
2021-01-15,375.7,,24.34,
2021-01-19,378.65,,23.24,
2021-01-20,383.89,,21.58,
2021-01-21,384.24,,21.32,
2021-01-22,382.88,,21.91,
2021-01-25,384.39,,23.19,
2021-01-26,383.79,,23.02,
2021-01-27,374.41,,37.21,
2021-01-28,377.63,,30.21,
2021-01-29,370.07,,33.09,
2021-02-01,376.23,,30.24,
2021-02-02,381.55,,25.56,
2021-02-03,381.85,,22.91,
2021-02-04,386.19,,21.77,
2021-02-05,387.71,0.16750138265556022,20.87,0.19222055306222408
2021-02-08,390.51,0.16813309811386043,21.24,0.19469323924554416
2021-02-09,390.25,0.16567845221374886,21.63,0.1960513808854995
2021-02-10,390.08,0.16576127262012502,21.99,0.19824450904804997
2021-02-11,390.71,0.16570039315923443,21.25,0.1937801572636938
2021-02-12,392.64,0.16507903965409224,19.97,0.1858516158616369
2021-02-16,392.3,0.1618889926780208,21.46,0.19351559707120833
2021-02-17,392.39,0.16060673961955524,21.5,0.1932426958478221
2021-02-18,390.72,0.15545673468354215,22.49,0.19712269387341685
2021-02-19,390.03,0.15574054184466127,22.05,0.1945962167378645
2021-02-22,387.03,0.15795695124722564,23.45,0.20388278049889025
2021-02-23,387.5,0.15747529039234034,23.11,0.20165011615693615
2021-02-24,391.77,0.16162064672197365,21.34,0.19268825868878947
2021-02-25,382.33,0.1608766622900231,28.89,0.23769066491600924
2021-02-26,380.36,0.15974606722813378,27.95,0.23159842689125348
2021-03-01,389.58,0.16120523409893497,23.35,0.204582093639574
2021-03-02,386.54,0.15637219349102496,24.1,0.20714887739641
2021-03-03,381.42,0.15709921347372427,26.67,0.2228596853894897
2021-03-04,376.7,0.16311425605123417,28.57,0.23666570242049367
2021-03-05,383.63,0.1715011737764432,24.66,0.21656046951057728
2021-03-08,381.72,0.17148460751262765,25.47,0.22141384300505104
2021-03-09,387.17,0.17747555050434538,24.03,0.21517022020173815
2021-03-10,389.58,0.17902339964645697,22.56,0.20696935985858278
2021-03-11,393.53,0.18261209965419445,21.91,0.20450483986167778
2021-03-12,394.06,0.1825917432928648,20.69,0.19717669731714593
2021-03-15,396.41,0.18296004738655808,20.03,0.19336401895462324
2021-03-16,395.91,0.18300400290250635,19.79,0.1919416011610025
2021-03-17,397.26,0.18329812582534236,19.23,0.18869925033013696
2021-03-18,391.48,0.19053726021380854,21.58,0.2056949040855234
2021-03-19,389.48,0.19134299135897143,20.95,0.20223719654358857
2021-03-22,392.59,0.19111970301175632,18.88,0.18972788120470252
2021-03-23,389.5,0.1935270297492236,20.3,0.19921081189968945
2021-03-24,387.52,0.19011299671321719,21.2,0.20324519868528684
2021-03-25,389.7,0.16884035357116053,19.81,0.18639614142846422
2021-03-26,395.98,0.17524378306230132,18.86,0.1832575132249205
2021-03-29,395.78,0.15496485287099696,20.74,0.18642594114839878
2021-03-30,394.73,0.15220890514609542,19.61,0.17854356205843816
2021-03-31,396.33,0.14262811093818153,19.4,0.1734512443752726
2021-04-01,400.61,0.13520425140796039,17.33,0.15806170056318414
2021-04-05,406.36,0.12992520252319856,17.91,0.1594300810092794
2021-04-06,406.12,0.12730275025728455,18.12,0.15964110010291382
2021-04-07,406.59,0.12048132541952189,17.16,0.15115253016780875
2021-04-08,408.52,0.11998516675460023,16.95,0.14969406670184007
2021-04-09,411.49,0.117967522552529,16.69,0.14732700902101162
2021-04-12,411.64,0.11811657264997698,16.91,0.1487066290599908
2021-04-13,412.86,0.11732755705127794,16.65,0.14683102282051116
2021-04-14,411.45,0.11837731556573693,16.99,0.14929092622629475
2021-04-15,415.87,0.12233904315453037,16.57,0.14835561726181215
2021-04-16,417.26,0.10468103692908715,16.25,0.13937241477163487
2021-04-19,415.21,0.1044759428852065,17.29,0.1455303771540826
2021-04-20,412.17,0.10924981903920782,18.68,0.15577992761568313
2021-04-21,416.07,0.10472228569132437,17.5,0.14688891427652975
2021-04-22,412.27,0.10993053500932394,18.71,0.1562322140037296
2021-04-23,416.74,0.11299183173589425,17.33,0.1491767326943577
2021-04-26,417.61,0.10268356383728133,17.64,0.14691342553491255
2021-04-27,417.52,0.1025702523377798,17.56,0.1463881009351119
2021-04-28,417.4,0.10127393471995408,17.28,0.14418957388798165
2021-04-29,420.06,0.10198129720579864,17.61,0.14645251888231947
2021-04-30,417.3,0.10287833493091958,18.61,0.15281133397236785
2021-05-03,418.2,0.09224794008690834,18.31,0.14675917603476332
2021-05-04,415.62,0.09594493659394794,19.48,0.15525797463757918
